srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,stcpb,dtcpb,smeansz,dmeansz,res_bdy_len,sjit,djit,sintpkt,dintpkt,tcprtt,synack,ackdat,ct_state_ttl,ct_flw_http_mthd,ct_srv_src,ct_srv_dst,ct_dst_src_ltm,attack_cat,label
30.0,44760.0,15.0,50060.0,114.0,5.0,0.5633893515358068,917.0,354.0,254.0,252.0,2.0,1.0,3.0,11988.086823197595,4431.3173040698375,10.0,8.0,255.0,2461107545.0,864204159.0,91.0,44.0,0.0,4045.041227245947,124.8013865418728,59.83986541043036,71.88231219304805,0.1035814972625874,0.06020256118767341,0.043378936074914,1.0,0.7956821272151701,1.0,1.0,1.0,2,1
29.0,1578.0,14.0,62606.0,114.0,5.0,8.658444477127349,5117.0,906106.0,254.0,252.0,2.0,337.0,5.0,4761.989216489727,828723.390886701,113.0,679.0,255.0,3047335946.0,1140990504.0,45.0,1320.0,439169.0,3652.8062156828496,1556.9254606423224,77.23682065729635,13.780182721735013,0.1325158925413105,0.07768352673282036,0.05483236580849013,1.0,1.0,1.0,1.0,1.0,7,1
37.0,101326.0,24.0,46132.0,114.0,5.0,0.29991100000000004,1470.0,1728.0,31.0,29.0,5.0,4.0,0.0,37451.11328,42812.70313,22.0,14.0,255.0,1232963807.0,1233260577.0,67.0,123.0,0.0,982.823809,32.533424,14.281476,23.014309,0.000713,0.000587,0.000126,0.0,0.0,4.0,19.0,4.0,0,0
31.0,16307.0,12.0,30252.0,120.0,6.0,2.252312446096296e-06,252.0,0.0,254.0,0.0,0.0,0.0,0.0,448672830.4982573,0.0,2.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.002252312446096296,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5,1
36.0,87088.0,27.0,61478.0,114.0,5.0,0.018423,1540.0,1644.0,31.0,29.0,4.0,4.0,0.0,627042.25,674374.4375,16.0,18.0,255.0,1872916875.0,1877467909.0,96.0,91.0,0.0,72.697212,2.164304,1.205667,1.055882,0.0006,0.00047,0.00013000000000000002,0.0,0.0,15.0,14.0,7.0,0,0
37.0,25383.0,9.0,15935.0,114.0,5.0,0.099699,3598.0,47394.0,31.0,29.0,7.0,24.0,0.0,283974.7813,3741662.5,60.0,62.0,255.0,894689429.0,3095042679.0,60.0,764.0,0.0,95.057934,91.753494,1.713569,1.625033,0.000717,0.0005690000000000001,0.000148,0.0,0.0,3.0,2.0,1.0,0,0
28.0,46486.0,10.0,47344.0,120.0,6.0,6e-06,114.0,0.0,254.0,0.0,0.0,0.0,2.0,76000000.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,2.0,0.0,29.0,29.0,29.0,4,1
33.0,83283.0,21.0,1202.0,120.0,2.0,0.004932,568.0,312.0,31.0,29.0,0.0,0.0,0.0,690997.5625,379562.0625,4.0,4.0,0.0,0.0,0.0,142.0,78.0,0.0,1.816088,1.5825049999999998,1.290667,1.126,0.0,0.0,0.0,0.0,0.0,5.0,12.0,3.0,0,0
33.0,101611.0,26.0,46132.0,114.0,5.0,0.006397,2054.0,2478.0,31.0,29.0,6.0,6.0,0.0,2452399.5,2970142.25,22.0,24.0,255.0,2714896720.0,569780406.0,93.0,103.0,0.0,17.405717000000006,13.432578,0.288048,0.227304,0.00129,0.001159,0.000131,0.0,0.0,7.0,5.0,1.0,0,0
28.0,53252.0,13.0,40214.0,120.0,6.0,4.452689088963329e-06,194.0,0.0,254.0,0.0,0.0,0.0,0.0,174301792.72597554,0.0,2.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.004452689088963329,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5,1
29.0,90.0,18.0,47344.0,120.0,6.0,7.000000000000002e-06,114.0,0.0,254.0,0.0,0.0,0.0,2.0,65142856.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,2.0,0.0,27.0,27.0,27.0,4,1
41.0,21771.0,23.0,12621.0,114.0,5.0,0.368333,4176.0,3080.0,31.0,29.0,7.0,7.0,0.0,87464.32813,64680.59766,28.0,30.0,255.0,2971390753.0,2990615813.0,149.0,103.0,0.0,697.727263,17.030418,13.630407,12.682138,0.0007030000000000001,0.000545,0.00015800000000000002,0.0,0.0,6.0,7.0,1.0,0,0
14.0,46486.0,29.0,47344.0,120.0,6.0,5e-06,264.0,0.0,60.0,0.0,0.0,0.0,2.0,211200000.0,0.0,2.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,0,0
37.0,56594.0,9.0,47344.0,120.0,2.0,0.000995,130.0,162.0,31.0,29.0,0.0,0.0,2.0,522613.0625,651256.25,2.0,2.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.009000000000000001,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
36.0,57510.0,9.0,62606.0,114.0,5.0,0.004978,1038.0,820.0,31.0,29.0,2.0,2.0,5.0,1460827.625,1186018.375,8.0,10.0,255.0,2998882858.0,2996184174.0,130.0,82.0,81.0,35.764747,0.996302,0.659143,0.491444,0.00067,0.000544,0.000126,0.0,1.0,2.0,2.0,1.0,0,0
38.0,10536.0,23.0,47344.0,120.0,2.0,0.001091,146.0,178.0,31.0,29.0,0.0,0.0,0.0,535288.6875,652612.25,2.0,2.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.01,0.008,0.0,0.0,0.0,0.0,0.0,10.0,16.0,1.0,0,0
36.0,68367.0,22.0,62606.0,114.0,5.0,1.106699,1684.0,10168.0,31.0,29.0,3.0,5.0,5.0,11305.69434,69424.47656,14.0,18.0,255.0,4214599300.0,2066579250.0,120.0,565.0,3924.0,8811.591402,7714.713033,85.103538,65.06923499999999,0.000646,0.000519,0.000127,0.0,1.0,2.0,1.0,2.0,0,0
31.0,90.0,18.0,47344.0,120.0,6.0,9e-06,114.0,0.0,254.0,0.0,0.0,0.0,2.0,50666664.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,2.0,0.0,33.0,33.0,33.0,4,1
28.0,0.0,17.0,1.0,122.0,6.0,4e-06,200.0,0.0,254.0,0.0,0.0,0.0,0.0,200000000.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1,1
38.0,86188.0,9.0,50349.0,114.0,5.0,0.234525,8928.0,320.0,31.0,29.0,4.0,1.0,4.0,282818.4688,9107.771484,14.0,6.0,255.0,3973148271.0,2340545518.0,638.0,53.0,0.0,1564.776295,93.271273,18.040384,46.784,0.000607,0.000475,0.000132,0.0,0.0,2.0,2.0,2.0,0,0
31.0,100072.0,14.0,57063.0,114.0,5.0,0.5354611833539409,858.0,419.0,254.0,252.0,2.0,1.0,1.0,15067.087223141874,5362.3562757635555,11.0,7.0,255.0,3719075958.0,3136683295.0,79.0,54.0,0.0,2982.209500885076,119.21999256053594,48.84769664281071,70.04326989298589,0.12160637591498785,0.06746518750311076,0.05414118841187708,1.0,0.0,1.0,1.0,1.0,8,1
31.0,90.0,15.0,47344.0,120.0,6.0,6e-06,114.0,0.0,254.0,0.0,0.0,0.0,2.0,76000000.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,2.0,0.0,35.0,35.0,35.0,4,1
38.0,21017.0,26.0,47344.0,120.0,2.0,0.000971,146.0,178.0,31.0,29.0,0.0,0.0,2.0,601441.8125,733264.6875,2.0,2.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.009000000000000001,0.005,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0,0
28.0,0.0,16.0,1.0,60.0,6.0,5e-06,200.0,0.0,254.0,0.0,0.0,0.0,0.0,160000000.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,6.0,9,1
38.0,103210.0,21.0,46287.0,114.0,5.0,0.055945,3926.0,56022.0,31.0,29.0,7.0,27.0,0.0,552971.625,7893323.5,66.0,68.0,255.0,747410954.0,2918153604.0,59.0,824.0,0.0,51.244315,46.142831,0.8551540000000001,0.8275819999999999,0.000629,0.00049,0.000139,0.0,0.0,16.0,18.0,4.0,0,0
31.0,90.0,15.0,47344.0,120.0,6.0,1e-05,114.0,0.0,254.0,0.0,0.0,0.0,2.0,45600000.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,23.0,23.0,23.0,4,1
38.0,28881.0,24.0,52253.0,114.0,5.0,0.020924,2974.0,31400.0,31.0,29.0,7.0,18.0,0.0,1113745.0,11765246.0,48.0,50.0,255.0,942730834.0,3102152411.0,62.0,628.0,0.0,0.0,24.109982,0.437936,0.425667,0.000603,0.000489,0.000114,0.0,0.0,3.0,4.0,1.0,0,0
34.0,24502.0,22.0,61478.0,114.0,5.0,0.018253,1540.0,1644.0,31.0,29.0,4.0,4.0,0.0,632882.25,680655.1875,16.0,18.0,255.0,412245522.0,416951299.0,96.0,91.0,0.0,72.612751,2.153594,1.196133,1.045882,0.000595,0.000469,0.000126,0.0,0.0,11.0,29.0,6.0,0,0
29.0,14983.0,16.0,57354.0,114.0,5.0,3.5463367376484065,6119.0,38262.0,254.0,252.0,8.0,18.0,4.0,12791.880433009635,76717.07730293565,24.0,43.0,255.0,3419391456.0,2202581880.0,239.0,801.0,46.0,7446.564892056538,5778.277980811854,145.48202006218241,82.4079014931566,0.20471476813809075,0.09439876983956808,0.11031599829852268,1.0,0.8888093388243467,1.0,1.0,1.0,8,1
30.0,0.0,17.0,1.0,0.0,6.0,8e-06,200.0,0.0,254.0,0.0,0.0,0.0,0.0,100000000.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,3,1
42.0,48734.0,26.0,47344.0,120.0,2.0,0.001068,132.0,164.0,31.0,29.0,0.0,0.0,2.0,494382.0313,614232.25,2.0,2.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.008,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0,0
35.0,51763.0,23.0,12108.0,114.0,5.0,0.023671,2934.0,3740.0,31.0,29.0,11.0,15.0,3.0,972667.0,1240674.25,52.0,54.0,255.0,4281432929.0,2132821067.0,56.0,69.0,0.0,35.68868300000001,0.902497,0.46724,0.435792,0.000715,0.00057,0.000145,0.0,0.0,1.0,1.0,4.0,0,0
31.0,1833.0,11.0,46242.0,120.0,6.0,5e-06,78.0,0.0,254.0,0.0,0.0,0.0,0.0,62400000.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,2.0,0.0,11.0,11.0,11.0,0,0
31.0,90.0,18.0,47344.0,120.0,6.0,1e-05,114.0,0.0,254.0,0.0,0.0,0.0,2.0,45600000.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,32.0,32.0,32.0,4,1
33.0,58559.0,9.0,47344.0,120.0,2.0,0.001081,132.0,164.0,31.0,29.0,0.0,0.0,2.0,488436.6563,606845.5625,2.0,2.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.01,0.008,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0,0
37.0,113223.0,25.0,44385.0,114.0,5.0,0.022067,3390.0,43544.0,31.0,29.0,7.0,22.0,0.0,1207232.5,15514207.0,56.0,58.0,255.0,4290247024.0,2171303120.0,61.0,751.0,0.0,20.811207,20.522994,0.395091,0.384964,0.000628,0.000502,0.000126,0.0,0.0,9.0,5.0,1.0,0,0
33.0,41446.0,24.0,61478.0,114.0,5.0,3.790756,22320.0,978468.0,31.0,29.0,34.0,348.0,0.0,46985.87891,2062261.0,396.0,766.0,255.0,3055326254.0,3059287059.0,56.0,1277.0,0.0,4375.976172,3123.879017,9.719082,4.95461,0.000589,0.000476,0.000113,0.0,0.0,6.0,2.0,2.0,0,0
29.0,90.0,14.0,47344.0,120.0,6.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,2.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,2.0,0.0,18.0,18.0,18.0,4,1
36.0,90012.0,22.0,61478.0,114.0,5.0,0.5924149999999999,8536.0,324476.0,31.0,29.0,14.0,118.0,0.0,114473.8125,4365278.0,144.0,266.0,255.0,2519956468.0,2524667750.0,59.0,1220.0,0.0,953.063655,699.029619,4.140497,2.233623,0.000633,0.0005009999999999999,0.000132,0.0,0.0,8.0,6.0,4.0,0,0
29.0,14376.0,12.0,34212.0,114.0,5.0,0.8245061804616761,685.0,354.0,254.0,252.0,2.0,1.0,0.0,6944.948339087262,3458.6613224327853,10.0,8.0,255.0,3186726376.0,3439023412.0,68.0,44.0,0.0,5140.879920324582,174.81107789230953,88.89298203799412,101.16816353174518,0.18414617952655032,0.11632561486964045,0.06782056465690987,1.0,0.0,5.0,1.0,1.0,5,1
28.0,67037.0,11.0,1202.0,114.0,5.0,1.6757720000669432,564.0,354.0,254.0,252.0,2.0,1.0,0.0,2730.1932096792443,1666.0627246462382,10.0,8.0,255.0,306454301.0,733817948.0,56.0,44.0,0.0,12097.383680776436,332.6991606486476,180.84651456662363,226.046882867355,0.17292049453436992,0.09343832479580937,0.07948216973856054,1.0,0.0,3.0,1.0,1.0,2,1
34.0,49430.0,21.0,47344.0,120.0,2.0,0.001057,146.0,178.0,31.0,29.0,0.0,0.0,2.0,552507.0625,673604.5,2.0,2.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
38.0,125688.0,27.0,42612.0,114.0,5.0,0.06982000000000001,3078.0,33018.0,31.0,29.0,7.0,18.0,0.0,345688.9063,3704497.25,50.0,48.0,255.0,1654494090.0,1761313177.0,62.0,688.0,0.0,80.87525,2.157541,1.417204,1.471213,0.000837,0.000667,0.00017,0.0,0.0,6.0,6.0,1.0,0,0
29.0,53695.0,13.0,55984.0,114.0,5.0,0.4262503679840483,714.0,354.0,254.0,252.0,2.0,1.0,0.0,12527.048650669094,5998.223707520945,10.0,8.0,255.0,3815287954.0,2544999199.0,71.0,44.0,0.0,3072.922798023099,115.49086749902924,46.47616002820935,58.25468150864563,0.07466006699433805,0.018450625980540144,0.05620944101379791,1.0,0.0,1.0,1.0,1.0,5,1
28.0,0.0,14.0,1.0,46.0,6.0,3e-06,180.0,0.0,254.0,0.0,0.0,0.0,0.0,239999984.0,0.0,2.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,3.0,8,1
36.0,59150.0,22.0,62606.0,114.0,5.0,1.005632,1684.0,10168.0,31.0,29.0,3.0,5.0,5.0,12441.92676,76401.70313,14.0,18.0,255.0,3009663148.0,861119838.0,120.0,565.0,3924.0,8765.279559999999,7674.293226000002,77.32930999999998,59.124706,0.00064,0.000508,0.000132,0.0,1.0,3.0,1.0,1.0,0,0
41.0,116.0,8.0,59180.0,114.0,5.0,0.016197,2334.0,14636.0,31.0,29.0,7.0,11.0,0.0,1121195.25,7016608.0,36.0,34.0,255.0,3216590446.0,1083120785.0,65.0,430.0,0.0,37.185738,0.952123,0.4528,0.475061,0.00065,0.000517,0.000133,0.0,0.0,4.0,3.0,2.0,0,0
28.0,16800.0,16.0,57029.0,120.0,6.0,1e-05,176.0,0.0,254.0,0.0,0.0,0.0,0.0,70400000.0,0.0,2.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5,1
33.0,48945.0,21.0,61478.0,114.0,5.0,18.344576,24848.0,1094788.0,31.0,29.0,38.0,390.0,0.0,10811.69727,476876.875,442.0,858.0,255.0,3484649802.0,3516137560.0,56.0,1276.0,0.0,16713.50407,12000.00581,41.59701,21.404936,0.000686,0.000559,0.000127,0.0,0.0,8.0,13.0,1.0,0,0
29.0,0.0,17.0,1.0,122.0,6.0,3e-06,200.0,0.0,254.0,0.0,0.0,0.0,0.0,266666656.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,2.0,0.0,7.0,7.0,12.0,2,1
39.0,10454.0,25.0,47344.0,120.0,2.0,0.00105,146.0,178.0,31.0,29.0,0.0,0.0,2.0,556190.5,678095.25,2.0,2.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.006,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0,0
29.0,47262.0,14.0,7607.0,114.0,5.0,0.8390474633523647,606.0,345.0,254.0,252.0,2.0,1.0,0.0,6375.2934626503475,3066.1569238102006,10.0,7.0,255.0,771384073.0,2802911003.0,60.0,44.0,0.0,5758.958848539968,171.54875267814603,89.64404479803758,113.51266607068857,0.13641664146448831,0.05483455241291296,0.08158208905157535,1.0,0.0,1.0,3.0,1.0,2,1
29.0,46486.0,18.0,47344.0,120.0,6.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,2.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,2.0,0.0,17.0,17.0,17.0,4,1
29.0,46486.0,14.0,47344.0,120.0,6.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,2.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,2.0,0.0,25.0,25.0,25.0,4,1
14.0,90.0,29.0,47344.0,120.0,6.0,7.000000000000002e-06,264.0,0.0,60.0,0.0,0.0,0.0,2.0,150857136.0,0.0,2.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0,0
40.0,110241.0,24.0,47344.0,120.0,2.0,0.00109,146.0,178.0,31.0,29.0,0.0,0.0,2.0,535779.8125,653211.0,2.0,2.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.011,0.008,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0,0
